Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,0.028119,0.030251,0.028098,0.029564,0.029564,214994
2023-07-14,0.029565,0.030374,0.028526,0.029672,0.029672,303301
2023-07-15,0.029672,0.029884,0.029182,0.029566,0.029566,65245
2023-07-16,0.029562,0.030186,0.029424,0.029516,0.029516,109082
2023-07-17,0.029516,0.029628,0.028200,0.028203,0.028203,63892
2023-07-18,0.028201,0.028251,0.027720,0.027787,0.027787,91700
2023-07-19,0.027788,0.029058,0.027752,0.028760,0.028760,153081
2023-07-20,0.028760,0.028944,0.028486,0.028652,0.028652,56434
2023-07-21,0.028652,0.028772,0.028324,0.028768,0.028768,79343
2023-07-22,0.028788,0.028957,0.028504,0.028547,0.028547,93042
2023-07-23,0.028549,0.028976,0.028475,0.028626,0.028626,79417
2023-07-24,0.028625,0.028679,0.027754,0.027785,0.027785,186620
2023-07-25,0.027785,0.028001,0.026335,0.026402,0.026402,187408
2023-07-26,0.026401,0.026964,0.025336,0.025381,0.025381,179387
2023-07-27,0.025382,0.028586,0.025382,0.027463,0.027463,316516
2023-07-28,0.027463,0.027474,0.025376,0.025492,0.025492,214690
2023-07-29,0.025489,0.025558,0.025103,0.025306,0.025306,79439
2023-07-30,0.025307,0.025520,0.025067,0.025135,0.025135,54972
2023-07-31,0.025135,0.025502,0.024839,0.025459,0.025459,47973
2023-08-01,0.025459,0.029140,0.025008,0.029085,0.029085,267438
2023-08-02,0.029089,0.030429,0.026972,0.027579,0.027579,305334
2023-08-03,0.027580,0.028481,0.027201,0.027976,0.027976,110273
2023-08-04,0.027975,0.028483,0.026945,0.027140,0.027140,58294
2023-08-05,0.027140,0.027147,0.025547,0.026350,0.026350,95001
2023-08-06,0.026351,0.028986,0.026268,0.028803,0.028803,123203
2023-08-07,0.028803,0.028822,0.027332,0.027553,0.027553,101386
2023-08-08,0.027552,0.028825,0.027262,0.028371,0.028371,162076
2023-08-09,0.028371,0.029877,0.028326,0.029352,0.029352,93589
2023-08-10,0.029351,0.029367,0.027594,0.027737,0.027737,208097
2023-08-11,0.027737,0.029050,0.027483,0.029049,0.029049,134654
2023-08-12,0.029050,0.043723,0.028791,0.040704,0.040704,1713959
2023-08-13,0.040656,0.043340,0.031306,0.038465,0.038465,1251249
2023-08-14,0.038480,0.038631,0.033121,0.037866,0.037866,361714
2023-08-15,0.037868,0.039390,0.032777,0.032863,0.032863,251411
2023-08-16,0.032862,0.036773,0.032731,0.033253,0.033253,204130
2023-08-17,0.033252,0.035235,0.031029,0.032628,0.032628,508344
2023-08-18,0.032659,0.032869,0.031949,0.032459,0.032459,120970
2023-08-19,0.032460,0.033469,0.032219,0.033419,0.033419,102222
2023-08-20,0.033419,0.033877,0.032921,0.033152,0.033152,91358
2023-08-21,0.033151,0.033353,0.031882,0.032543,0.032543,112897
2023-08-22,0.032543,0.033410,0.032266,0.032677,0.032677,93746
2023-08-23,0.032678,0.033006,0.032247,0.032716,0.032716,135020
2023-08-24,0.032715,0.034833,0.032455,0.032617,0.032617,103803
2023-08-25,0.032621,0.033107,0.030192,0.030270,0.030270,149568
2023-08-26,0.030273,0.030346,0.028012,0.028911,0.028911,131477
2023-08-27,0.028916,0.029844,0.028845,0.029630,0.029630,56693
